id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,price,listings_count,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
6133354,13042181,47.618536085990456,-122.29572378483229,2,1.0,0.0,1.0,2,1125,28,58,88,363,26,95.0,3.24,135.0,1,2014-03-11,100.0,f,t,t,Central Area,Apartment,Entire home/apt,Real Bed,f,flexible,f,f
7987836,1276476,47.61251152947628,-122.28994417870129,2,1.0,1.0,1.0,2,7,30,60,90,365,2,100.0,0.63,85.0,1,2011-10-11,100.0,f,t,t,Central Area,Loft,Entire home/apt,Real Bed,f,strict,f,f
9910025,21223543,47.611216615583665,-122.2960781992296,4,1.0,2.0,2.0,1,1125,25,52,80,344,1,100.0,1.0,110.0,1,2014-09-11,100.0,f,t,t,Central Area,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
7364024,14196478,47.61601738704286,-122.2926618647043,4,1.0,1.0,2.0,1,1125,10,40,70,345,10,94.0,1.88,110.0,1,2014-04-12,100.0,f,t,t,Central Area,Townhouse,Entire home/apt,Real Bed,f,moderate,f,f
9362082,406209,47.610188699792175,-122.29217040287494,5,1.0,2.0,2.0,2,30,10,13,13,43,1,100.0,1.0,250.0,1,2011-02-23,100.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,flexible,f,f
8847108,5976789,47.611524752224426,-122.28881868718734,2,1.0,1.0,1.0,1,1125,16,39,69,344,11,98.0,4.23,85.0,1,2013-04-17,100.0,f,t,t,Central Area,Other,Entire home/apt,Real Bed,f,strict,f,f
7462428,16718874,47.61126857739529,-122.2914647675728,1,1.5,1.0,1.0,1,1125,30,60,89,89,11,89.0,2.04,50.0,1,2014-06-12,67.0,f,t,f,Central Area,House,Private room,Real Bed,f,flexible,f,f
4370312,1142416,47.615683706642315,-122.2851739762994,2,1.0,1.0,1.0,1,15,8,25,54,54,4,95.0,4.0,78.0,1,2011-09-11,100.0,f,t,t,Central Area,Apartment,Entire home/apt,Real Bed,t,moderate,f,f
4053972,2325108,47.61593275983533,-122.28531414190577,2,1.0,1.0,1.0,1,60,19,49,79,168,65,94.0,4.05,95.0,1,2012-05-08,100.0,f,t,t,Central Area,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
6209191,32197370,47.617508583546964,-122.2920225627565,2,1.5,1.0,1.0,2,1125,30,60,89,89,7,100.0,0.88,95.0,1,2015-04-29,100.0,f,t,t,Central Area,House,Private room,Real Bed,f,moderate,f,f
10123910,28991907,47.61589742410733,-122.28204290999322,8,1.0,4.0,5.0,2,365,30,60,90,365,0,0.0,0.0,295.0,1,2015-03-08,0.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,strict,f,f
